leagueMatchNb,teamName,points,wins,draws,loses,goalsFor,goalsAgainst,goalsDiff
1,MONTPELLIER,3,1,0,0,2,1,1
2,RENNES,4,1,1,0,3,2,1
3,MONTPELLIER,6,2,0,1,6,4,2
4,LOSC,8,2,2,0,4,2,2
5,AS MONACO,10,3,1,1,9,7,2
6,MONTPELLIER,10,3,1,2,12,8,4
7,RC LENS,13,4,1,2,10,10,0
8,OGC NICE,14,4,2,2,11,10,1
9,RC LENS,17,5,2,2,12,11,1
10,RC LENS,18,5,3,2,16,15,1
11,OL,20,5,5,1,18,10,8
12,AS MONACO,23,7,2,3,23,16,7
13,RC LENS,24,7,3,3,20,18,2
14,MONTPELLIER,26,8,2,4,25,21,4
15,RC LENS,27,8,3,4,25,21,4
16,RENNES,28,8,4,4,25,19,6
17,OM,31,9,4,4,25,18,7
18,RENNES,32,9,5,4,26,19,7
19,AS MONACO,33,10,3,6,36,27,9
20,RENNES,36,10,6,4,30,22,8
21,RENNES,36,10,6,5,30,23,7
22,OM,38,11,5,6,31,24,7
23,OM,39,11,6,6,33,26,7
24,OM,39,11,6,7,33,28,5
25,OM,40,11,7,7,33,28,5
26,OM,41,11,8,7,34,29,5
27,OM,42,11,9,7,35,30,5
28,RC LENS,44,12,8,8,42,39,3
29,OM,45,12,9,8,38,33,5
30,RC LENS,48,13,9,8,46,42,4
31,RC LENS,49,13,10,8,47,43,4
32,RC LENS,52,14,10,8,51,44,7
33,RC LENS,53,14,11,8,52,45,7
34,RC LENS,56,15,11,8,54,46,8
35,RC LENS,56,15,11,9,55,48,7
36,OM,56,15,11,10,50,44,6
37,OM,59,16,11,10,53,46,7
38,OM,60,16,12,10,54,47,7
