leagueMatchNb,teamName,points,wins,draws,loses,goalsFor,goalsAgainst,goalsDiff
1,FC LORIENT,3,1,0,0,3,1,2
2,OGC NICE,6,2,0,0,4,1,3
3,RENNES,7,2,1,0,7,4,3
4,RENNES,10,3,1,0,9,5,4
5,LOSC,11,3,2,0,6,2,4
6,LOSC,14,4,2,0,9,2,7
7,PARIS SG,15,5,0,2,16,3,13
8,LOSC,18,5,3,0,14,3,11
9,LOSC,19,5,4,0,15,4,11
10,LOSC,19,5,4,1,17,7,10
11,LOSC,22,6,4,1,21,7,14
12,OM,24,7,3,2,18,12,6
13,OM,27,8,3,2,20,12,8
14,LOSC,29,8,5,1,26,10,16
15,PARIS SG,31,10,1,4,35,10,25
16,OL,33,9,6,1,31,14,17
17,LOSC,36,10,6,1,31,12,19
18,PARIS SG,36,11,3,4,40,11,29
19,PARIS SG,39,12,3,4,43,11,32
20,LOSC,42,12,6,2,35,15,20
21,LOSC,45,13,6,2,36,15,21
22,OL,46,13,7,2,46,20,26
23,OL,49,14,7,2,47,20,27
24,OL,52,15,7,2,50,20,30
25,PARIS SG,54,17,3,5,57,15,42
26,OL,55,16,7,3,54,24,30
27,PARIS SG,57,18,3,6,61,17,44
28,PARIS SG,60,19,3,6,62,17,45
29,PARIS SG,60,19,3,7,63,19,44
30,LOSC,63,18,9,3,50,19,31
31,PARIS SG,63,20,3,8,67,22,45
32,PARIS SG,66,21,3,8,71,23,48
33,PARIS SG,69,22,3,8,74,25,49
34,PARIS SG,72,23,3,8,77,26,51
35,PARIS SG,75,24,3,8,79,27,52
36,PARIS SG,76,24,4,8,80,28,52
37,PARIS SG,79,25,4,8,84,28,56
38,PARIS SG,82,26,4,8,86,28,58
