leagueMatchNb,teamName,points,wins,draws,loses,goalsFor,goalsAgainst,goalsDiff
1,LOSC,1,0,1,0,1,1,0
2,FC LORIENT,3,1,0,1,3,3,0
3,OL,4,1,1,1,5,3,2
4,ANGERS SCO,6,2,0,2,3,6,-3
5,OL,6,1,3,1,6,4,2
6,BREST,9,3,0,3,10,12,-2
7,ANGERS SCO,10,3,1,3,8,15,-7
8,MONTPELLIER,11,3,2,3,13,13,0
9,ANGERS SCO,13,4,1,4,10,19,-9
10,FC METZ,15,4,3,3,11,8,3
11,ANGERS SCO,16,5,1,5,15,21,-6
12,OGC NICE,17,5,2,5,18,18,0
13,OGC NICE,18,5,3,5,18,18,0
14,BORDEAUX,19,5,4,5,14,15,-1
15,OGC NICE,21,6,3,6,20,19,1
16,BREST,23,7,2,7,27,29,-2
17,BREST,23,7,2,8,28,31,-3
18,FC METZ,24,6,6,6,19,17,2
19,BREST,26,8,2,9,30,34,-4
20,MONTPELLIER,28,8,4,8,33,35,-2
21,MONTPELLIER,28,8,4,9,33,39,-6
22,MONTPELLIER,28,8,4,10,34,41,-7
23,MONTPELLIER,29,8,5,10,35,42,-7
24,MONTPELLIER,32,9,5,10,39,44,-5
25,BORDEAUX,33,9,6,10,27,29,-2
26,BORDEAUX,33,9,6,11,27,31,-4
27,BORDEAUX,33,9,6,12,28,33,-5
28,OGC NICE,35,10,5,13,35,40,-5
29,BORDEAUX,36,10,6,13,31,35,-4
30,OGC NICE,39,11,6,13,39,41,-2
31,ANGERS SCO,41,11,8,12,34,44,-10
32,ANGERS SCO,41,11,8,13,34,47,-13
33,REIMS,41,9,14,10,38,38,0
34,REIMS,41,9,14,11,39,41,-2
35,REIMS,42,9,15,11,41,43,-2
36,ASSE,45,12,9,15,42,53,-11
37,ASSE,46,12,10,15,42,53,-11
38,ASSE,46,12,10,16,42,54,-12
