leagueMatchNb,teamName,points,wins,draws,loses,goalsFor,goalsAgainst,goalsDiff
1,OL,0,0,0,1,1,2,-1
2,ANGERS SCO,3,1,0,1,1,2,-1
3,PARIS SG,3,1,0,2,1,2,-1
4,NÎMES,4,1,1,2,7,6,1
5,FC NANTES,5,1,2,2,5,7,-2
6,FC METZ,7,2,1,3,6,6,0
7,FC NANTES,8,2,2,3,9,10,-1
8,BREST,9,3,0,5,11,18,-7
9,BREST,9,3,0,6,12,20,-8
10,ASSE,10,3,1,6,10,15,-5
11,NÎMES,11,3,2,6,11,19,-8
12,ASSE,11,3,2,7,12,20,-8
13,ASSE,12,3,3,7,12,20,-8
14,ASSE,13,3,4,7,12,20,-8
15,STRASBOURG,14,4,2,9,22,26,-4
16,FC NANTES,15,3,6,7,18,27,-9
17,REIMS,17,4,5,8,24,28,-4
18,REIMS,18,4,6,8,24,28,-4
19,STRASBOURG,20,6,2,11,28,32,-4
20,REIMS,21,5,6,9,28,31,-3
21,STRASBOURG,24,7,3,11,30,33,-3
22,STRASBOURG,24,7,3,12,30,34,-4
23,STRASBOURG,25,7,4,12,32,36,-4
24,ASSE,26,6,8,10,23,36,-13
25,ASSE,29,7,8,10,25,36,-11
26,STRASBOURG,29,8,5,13,34,40,-6
27,STRASBOURG,30,8,6,13,35,41,-6
28,BORDEAUX,33,9,6,13,28,34,-6
29,STRASBOURG,33,9,6,14,36,42,-6
30,STRASBOURG,33,9,6,15,37,44,-7
31,ASSE,36,9,9,13,32,46,-14
32,BORDEAUX,36,10,6,16,35,45,-10
33,BREST,37,10,7,16,45,56,-11
34,STRASBOURG,37,10,7,17,43,53,-10
35,BORDEAUX,39,11,6,18,37,52,-15
36,BORDEAUX,39,11,6,19,37,55,-18
37,STRASBOURG,41,11,8,18,48,57,-9
38,STRASBOURG,42,11,9,18,49,58,-9
