leagueMatchNb,teamName,points,wins,draws,loses,goalsFor,goalsAgainst,goalsDiff
1,BREST,0,0,0,1,0,4,-4
2,BREST,0,0,0,2,2,7,-5
3,DIJON FCO,0,0,0,3,1,7,-6
4,DIJON FCO,0,0,0,4,1,8,-7
5,DIJON FCO,1,0,1,4,3,10,-7
6,DIJON FCO,1,0,1,5,3,13,-10
7,DIJON FCO,2,0,2,5,4,14,-10
8,DIJON FCO,2,0,2,6,4,18,-14
9,DIJON FCO,3,0,3,6,4,18,-14
10,DIJON FCO,4,0,4,6,5,19,-14
11,DIJON FCO,4,0,4,7,5,20,-15
12,DIJON FCO,7,1,4,7,8,21,-13
13,DIJON FCO,8,1,5,7,8,21,-13
14,DIJON FCO,9,1,6,7,9,22,-13
15,DIJON FCO,9,1,6,8,9,24,-15
16,DIJON FCO,9,1,6,9,9,25,-16
17,NÎMES,12,3,3,11,14,34,-20
18,NÎMES,12,3,3,12,14,39,-25
19,NÎMES,12,3,3,13,14,40,-26
20,DIJON FCO,14,2,8,10,14,29,-15
21,FC LORIENT,15,4,3,14,23,41,-18
22,DIJON FCO,15,2,9,11,15,31,-16
23,DIJON FCO,15,2,9,12,15,32,-17
24,DIJON FCO,15,2,9,13,17,36,-19
25,DIJON FCO,15,2,9,14,17,38,-21
26,DIJON FCO,15,2,9,15,18,40,-22
27,DIJON FCO,15,2,9,16,18,44,-26
28,DIJON FCO,15,2,9,17,19,47,-28
29,DIJON FCO,15,2,9,18,20,50,-30
30,DIJON FCO,15,2,9,19,20,51,-31
31,DIJON FCO,15,2,9,20,20,53,-33
32,DIJON FCO,15,2,9,21,20,56,-36
33,DIJON FCO,18,3,9,21,22,56,-34
34,DIJON FCO,18,3,9,22,23,61,-38
35,DIJON FCO,18,3,9,23,24,66,-42
36,DIJON FCO,18,3,9,24,24,69,-45
37,DIJON FCO,18,3,9,25,24,73,-49
38,DIJON FCO,21,4,9,25,25,73,-48
