leagueMatchNb,teamName,points,wins,draws,loses,goalsFor,goalsAgainst,goalsDiff
1,STRASBOURG,0,0,0,1,1,3,-2
2,STRASBOURG,0,0,0,2,1,5,-4
3,FC METZ,0,0,0,3,0,3,-3
4,STRASBOURG,3,1,0,3,2,7,-5
5,STRASBOURG,3,1,0,4,4,10,-6
6,STRASBOURG,3,1,0,5,4,13,-9
7,STRASBOURG,3,1,0,6,6,16,-10
8,STRASBOURG,6,2,0,6,9,16,-7
9,NÎMES,8,2,2,5,9,14,-5
10,NÎMES,8,2,2,6,10,19,-9
11,FC LORIENT,8,2,2,7,12,21,-9
12,FC LORIENT,8,2,2,8,12,22,-10
13,REIMS,10,2,4,7,16,22,-6
14,NÎMES,11,3,2,9,11,27,-16
15,FC LORIENT,11,3,2,10,15,26,-11
16,NÎMES,12,3,3,10,13,31,-18
17,FC LORIENT,12,3,3,11,17,31,-14
18,DIJON FCO,13,2,7,9,12,26,-14
19,DIJON FCO,14,2,8,9,12,26,-14
20,FC LORIENT,15,4,3,13,23,40,-17
21,NÎMES,18,5,3,13,17,41,-24
22,FC LORIENT,18,5,3,14,26,43,-17
23,FC LORIENT,19,5,4,14,27,44,-17
24,FC NANTES,19,3,10,11,22,39,-17
25,FC NANTES,22,4,10,11,25,40,-15
26,FC NANTES,23,4,11,11,26,41,-15
27,NÎMES,25,7,4,16,26,52,-26
28,NÎMES,25,7,4,17,27,54,-27
29,FC NANTES,27,5,12,12,30,45,-15
30,NÎMES,29,8,5,17,30,56,-26
31,NÎMES,29,8,5,18,30,58,-28
32,NÎMES,30,8,6,18,31,59,-28
33,NÎMES,31,8,7,18,32,60,-28
34,FC NANTES,31,6,13,15,35,52,-17
35,FC NANTES,34,7,13,15,39,53,-14
36,FC NANTES,37,8,13,15,42,53,-11
37,FC NANTES,40,9,13,15,46,53,-7
38,FC NANTES,40,9,13,16,47,55,-8
