leagueMatchNb,teamName,points,wins,draws,loses,goalsFor,goalsAgainst,goalsDiff
1,SM CAEN,3,1,0,0,4,0,4
2,SM CAEN,6,2,0,0,5,0,5
3,TOULOUSE FC,7,2,1,0,7,2,5
4,TOULOUSE FC,10,3,1,0,8,2,6
5,NÎMES,11,3,2,0,8,2,6
6,PARIS FC,13,4,1,1,10,4,6
7,AC AJACCIO,15,4,3,0,10,4,6
8,AC AJACCIO,18,5,3,0,12,4,8
9,AC AJACCIO,19,5,4,0,12,4,8
10,FCSM,20,6,2,2,11,6,5
11,FCSM,23,7,2,2,12,6,6
12,FCSM,26,8,2,2,13,6,7
13,FCSM,27,8,3,2,14,7,7
14,FCSM,28,8,4,2,14,7,7
15,AJ AUXERRE,29,8,5,2,25,15,10
16,AC AJACCIO,31,9,4,3,18,8,10
17,AC AJACCIO,32,9,5,3,18,8,10
18,TOULOUSE FC,34,9,7,2,38,17,21
19,TOULOUSE FC,37,10,7,2,40,18,22
20,TOULOUSE FC,40,11,7,2,44,18,26
21,TOULOUSE FC,41,11,8,2,45,19,26
22,AC AJACCIO,42,12,6,4,21,10,11
23,PARIS FC,44,13,5,5,32,20,12
24,PARIS FC,47,14,5,5,35,20,15
25,PARIS FC,48,14,6,5,36,21,15
26,PARIS FC,51,15,6,5,39,22,17
27,PARIS FC,52,15,7,5,40,23,17
28,PARIS FC,55,16,7,5,42,23,19
29,PARIS FC,55,16,7,6,42,26,16
30,PARIS FC,56,16,8,6,43,27,16
31,AC AJACCIO,58,17,7,7,28,15,13
32,AC AJACCIO,61,18,7,7,30,16,14
33,AC AJACCIO,64,19,7,7,33,16,17
34,AC AJACCIO,67,20,7,7,35,17,18
35,AC AJACCIO,68,20,8,7,35,17,18
36,AC AJACCIO,68,20,8,7,35,17,18
