leagueMatchNb,teamName,points,wins,draws,loses,goalsFor,goalsAgainst,goalsDiff
1,ASC,0,0,0,1,1,2,-1
2,DFCO,0,0,0,2,2,5,-3
3,DFCO,1,0,1,2,3,6,-3
4,USLD,1,0,1,3,3,6,-3
5,GF38,4,1,1,3,2,8,-6
6,GF38,4,1,1,4,2,9,-7
7,VAFC,5,1,2,4,4,11,-7
8,ASC,6,1,3,4,8,12,-4
9,ASC,7,1,4,4,10,14,-4
10,DFCO,10,3,1,6,11,16,-5
11,DFCO,10,3,1,7,11,18,-7
12,USLD,12,3,3,6,12,16,-4
13,USLD,13,3,4,6,13,17,-4
14,NO,14,3,5,6,16,19,-3
15,VAFC,16,4,4,7,12,22,-10
16,QRM,17,4,5,7,14,21,-7
17,SMC,18,4,6,7,18,19,-1
18,VAFC,20,5,5,8,14,26,-12
19,VAFC,21,5,6,8,15,27,-12
20,ASC,21,4,9,7,22,20,2
21,GF38,22,6,4,11,17,27,-10
22,SCB,24,5,9,8,20,21,-1
23,SCB,25,5,10,8,21,22,-1
24,VAFC,26,6,8,10,24,34,-10
25,VAFC,27,6,9,10,25,35,-10
26,QRM,29,7,8,11,23,35,-12
27,QRM,29,7,8,12,23,37,-14
28,USLD,30,8,6,14,22,34,-12
29,GF38,32,9,5,15,22,36,-14
30,RAF,32,7,11,12,24,34,-10
31,GF38,33,9,6,16,23,38,-15
32,RAF,33,7,12,13,25,37,-12
33,QRM,34,8,10,15,26,44,-18
34,RAF,34,7,13,14,26,39,-13
35,RAF,34,7,13,14,26,39,-13
