leagueMatchNb,teamName,points,wins,draws,loses,goalsFor,goalsAgainst,goalsDiff
1,FCSM,3,1,0,0,3,1,2
2,AJA,6,2,0,0,5,1,4
3,NO,7,2,1,0,6,2,4
4,FCSM,9,3,0,1,6,4,2
5,ACA,11,3,2,0,8,3,5
6,FCSM,13,4,1,1,7,4,3
7,AJA,14,4,2,1,15,5,10
8,FCSM,16,5,1,2,9,5,4
9,FCSM,19,6,1,2,11,6,5
10,AJA,19,5,4,1,16,5,11
11,AJA,20,5,5,1,18,7,11
12,ACA,22,6,4,2,14,7,7
13,ACA,25,7,4,2,16,7,9
14,AJA,26,7,5,2,21,14,7
15,ACA,28,8,4,3,17,8,9
16,AJA,29,8,5,3,26,18,8
17,FCSM,31,9,4,4,17,13,4
18,AJA,33,9,6,3,30,20,10
19,PFC,36,11,3,5,25,16,9
20,PFC,37,11,4,5,26,17,9
21,FCSM,39,11,6,4,24,18,6
22,PFC,41,12,5,5,30,20,10
23,ACA,42,12,6,5,21,12,9
24,FCSM,44,12,8,4,28,20,8
25,ACA,45,13,6,6,22,13,9
26,ACA,48,14,6,6,24,14,10
27,ACA,51,15,6,6,25,14,11
28,AJA,51,14,9,5,44,30,14
29,AJA,54,15,9,5,46,31,15
30,ACA,55,16,7,7,26,15,11
31,PFC,56,16,8,7,44,29,15
32,AJA,58,16,10,6,49,34,15
33,AJA,61,17,10,6,53,35,18
34,AJA,61,17,10,6,53,35,18
