leagueMatchNb,teamName,points,wins,draws,loses,goalsFor,goalsAgainst,goalsDiff
1,TFC,3,1,0,0,2,0,2
2,SMC,6,2,0,0,5,3,2
3,SMC,7,2,1,0,5,3,2
4,SRFC,8,2,2,0,5,1,4
5,SRFC,11,3,2,0,7,2,5
6,TFC,13,4,1,1,8,3,5
7,SRFC,15,4,3,0,9,3,6
8,ASSE,17,5,2,1,13,7,6
9,ASSE,17,5,2,2,14,9,5
10,OM,18,5,3,2,18,11,7
11,SRFC,20,5,5,1,12,5,7
12,SB29,21,6,3,3,12,7,5
13,LOSC,21,5,6,2,22,15,7
14,SRFC,24,6,6,2,16,9,7
15,LOSC,25,6,7,2,25,17,8
16,PSG,27,7,6,3,26,16,10
17,PSG,30,8,6,3,28,17,11
18,PSG,31,8,7,3,30,19,11
19,PSG,31,8,7,4,30,21,9
20,PSG,34,9,7,4,32,22,10
21,PSG,37,10,7,4,34,23,11
22,PSG,37,10,7,5,34,24,10
23,SRFC,40,11,7,5,26,17,9
24,SRFC,43,12,7,5,28,18,10
25,SRFC,46,13,7,5,30,18,12
26,SRFC,49,14,7,5,31,18,13
27,SRFC,49,14,7,6,31,20,11
28,OM,51,14,9,5,41,24,17
29,OM,54,15,9,5,42,24,18
30,OM,55,15,10,5,44,26,18
31,OM,58,16,10,5,46,27,19
32,LOSC,60,16,12,4,54,31,23
33,OM,62,17,11,5,51,30,21
34,OM,62,17,11,6,53,33,20
35,OM,65,18,11,6,56,33,23
36,OM,66,18,12,6,58,35,23
37,OM,67,18,13,6,60,37,23
38,OM,68,18,14,6,62,39,23
