leagueMatchNb,teamName,points,wins,draws,loses,goalsFor,goalsAgainst,goalsDiff
1,OGCN,1,0,1,0,0,0,0
2,ASNL,3,1,0,1,2,4,-2
3,ASSE,4,1,1,1,4,5,-1
4,LOSC,4,0,4,0,2,2,0
5,ASNL,7,2,1,2,5,8,-3
6,SB29,8,2,2,2,5,4,1
7,OGCN,9,2,3,2,7,10,-3
8,MHSC,11,3,2,3,7,9,-2
9,SMC,13,3,4,2,8,8,0
10,FCSM,13,4,1,5,17,14,3
11,AJA,14,3,5,3,16,13,3
12,OL,16,4,4,4,14,15,-1
13,FCL,18,5,3,5,14,13,1
14,FCSM,18,5,3,6,22,18,4
15,FCL,21,6,3,6,16,15,1
16,ASSE,22,5,7,4,21,19,2
17,FCL,24,7,3,7,22,21,1
18,FCSM,25,7,4,7,28,21,7
19,FCSM,25,7,4,8,29,23,6
20,FCSM,25,7,4,9,30,25,5
21,SB29,28,7,7,7,21,20,1
22,FCL,31,9,4,9,26,27,-1
23,FCL,31,9,4,10,27,30,-3
24,FCSM,31,9,4,11,39,31,8
25,TFC,33,10,3,12,27,28,-1
26,SB29,35,9,8,9,27,28,-1
27,FCSM,35,10,5,12,40,33,7
28,FCSM,35,10,5,13,40,35,5
29,TFC,37,11,4,14,29,31,-2
30,TFC,38,11,5,14,31,33,-2
31,SB29,39,10,9,12,32,35,-3
32,SB29,40,10,10,12,34,37,-3
33,TFC,42,12,6,15,34,35,-1
34,TFC,43,12,7,15,34,35,-1
35,FCGB,45,10,15,10,40,40,0
36,AJA,46,9,19,8,43,39,4
37,MHSC,47,12,11,14,32,41,-9
38,FCL,49,12,13,13,46,48,-2
