leagueMatchNb,teamName,points,wins,draws,loses,goalsFor,goalsAgainst,goalsDiff
1,OL,3,1,0,0,3,0,3
2,OL,6,2,0,0,4,2,2
3,SRFC,6,2,0,1,9,1,8
4,PSG,9,3,0,1,6,3,3
5,PSG,10,3,1,1,6,3,3
6,PSG,12,4,0,2,13,10,3
7,PSG,15,5,0,2,15,10,5
8,PSG,16,5,1,2,16,11,5
9,PSG,19,6,1,2,9,5,4
10,PSG,19,6,1,3,9,6,3
11,PSG,19,6,1,4,9,7,2
12,PSG,20,6,2,4,17,16,1
13,PSG,22,6,4,3,16,17,-1
14,PSG,25,7,4,3,18,17,1
15,PSG,28,8,4,3,20,18,2
16,PSG,31,9,4,3,22,18,4
17,PSG,34,10,4,3,25,19,6
18,PSG,35,10,5,3,26,20,6
19,PSG,38,11,5,3,29,21,8
20,PSG,41,12,5,3,30,21,9
21,PSG,42,12,6,3,30,21,9
22,PSG,43,12,7,3,30,21,9
23,PSG,46,13,7,3,32,21,11
24,PSG,49,14,7,3,33,21,12
25,PSG,52,15,7,3,35,22,13
26,PSG,52,15,7,4,36,25,11
27,PSG,55,16,7,4,39,27,12
28,PSG,56,16,8,4,41,29,12
