leagueMatchNb,teamName,points,wins,draws,loses,goalsFor,goalsAgainst,goalsDiff
1,FC NANTES,3,1,0,0,1,0,1
2,SC BASTIA,3,1,0,1,3,1,2
3,FC METZ,6,2,0,1,5,5,0
4,PARIS SG,7,2,1,1,6,4,2
5,EA GUINGAMP,8,2,2,1,8,6,2
6,OL,10,3,1,2,13,8,5
7,ASSE,12,3,3,1,10,6,4
8,RENNES,13,4,1,3,9,10,-1
9,RENNES,14,4,2,3,10,11,-1
10,ASSE,16,4,4,2,13,9,4
11,ASSE,17,4,5,2,14,10,4
12,OL,19,6,1,5,20,16,4
13,BORDEAUX,20,5,5,3,16,14,2
14,OL,22,7,1,6,22,18,4
15,EA GUINGAMP,23,6,5,4,19,15,4
16,BORDEAUX,24,6,6,4,20,18,2
17,TOULOUSE FC,25,7,4,6,21,18,3
18,RENNES,27,8,3,7,19,22,-3
19,RENNES,28,8,4,7,20,23,-3
20,RENNES,28,8,4,8,20,24,-4
21,OM,30,8,6,7,24,26,-2
22,BORDEAUX,32,8,8,6,24,27,-3
23,BORDEAUX,33,8,9,6,25,28,-3
24,BORDEAUX,36,9,9,6,29,28,1
25,BORDEAUX,36,9,9,7,29,31,-2
26,BORDEAUX,39,10,9,7,32,31,1
27,OM,39,11,6,10,36,36,0
28,ASSE,40,10,10,8,31,22,9
29,ASSE,41,10,11,8,33,24,9
30,ASSE,44,11,11,8,34,24,10
31,ASSE,44,11,11,9,34,26,8
32,ASSE,45,11,12,9,35,27,8
33,ASSE,45,11,12,10,35,31,4
34,ASSE,46,11,13,10,36,32,4
35,ASSE,49,12,13,10,38,32,6
36,ASSE,50,12,14,10,40,34,6
37,FC NANTES,51,14,9,14,40,51,-11
38,FC NANTES,51,14,9,15,40,54,-14
