leagueMatchNb,teamName,points,wins,draws,loses,goalsFor,goalsAgainst,goalsDiff
1,RCL,1,0,1,0,1,1,0
2,RCL,2,0,2,0,3,3,0
3,FCN,4,1,1,1,3,2,1
4,OL,5,1,2,1,5,7,-2
5,MHSC,7,2,1,2,11,9,2
6,OL,8,2,2,2,9,10,-1
7,RCSA,10,3,1,3,11,11,0
8,LOSC,11,3,2,3,11,14,-3
9,FCN,13,4,1,4,13,10,3
10,FCN,14,4,2,4,14,11,3
11,OL,16,4,4,3,18,16,2
12,FCN,17,5,2,5,16,14,2
13,SCO,18,4,6,3,19,16,3
14,ASM,19,5,4,5,19,18,1
15,ASM,20,5,5,5,20,19,1
16,SCO,22,5,7,4,23,21,2
17,MHSC,25,7,4,6,25,23,2
18,OL,26,7,6,5,27,26,1
19,LOSC,28,7,7,5,26,26,0
20,ASM,30,8,6,6,29,23,6
21,MHSC,31,9,4,8,34,28,6
22,RCL,33,9,6,7,36,31,5
23,RCL,33,9,6,8,36,33,3
