leagueMatchNb,teamName,points,wins,draws,loses,goalsFor,goalsAgainst,goalsDiff
1,FC NANTES,1,0,1,0,1,1,0
2,FC LORIENT,4,1,1,0,2,1,1
3,OGC NICE,4,1,2,0,5,1,4
4,FC LORIENT,5,1,2,1,5,6,-1
5,OL,8,2,2,1,8,8,0
6,FC LORIENT,9,2,3,1,7,7,0
7,OL,11,3,2,2,12,11,1
8,OL,12,3,3,2,13,12,1
9,FC LORIENT,14,3,5,1,10,9,1
10,RENNES,15,4,3,3,15,9,6
11,FC NANTES,17,5,2,4,16,12,4
12,STRASBOURG,17,5,2,5,22,16,6
13,OL,19,5,4,4,21,21,0
14,OL,21,6,4,4,23,22,1
15,ANGERS SCO,22,5,7,3,22,18,4
16,STRASBOURG,23,6,5,5,31,22,9
17,AS MONACO,26,7,5,5,27,20,7
18,STRASBOURG,26,7,5,6,34,24,10
19,AS MONACO,29,8,5,6,29,23,6
20,LOSC,31,8,7,5,29,27,2
21,RC LENS,33,9,6,6,36,29,7
22,OL,34,9,8,5,31,28,3
23,MONTPELLIER,34,10,4,9,38,33,5
24,OL,37,10,8,6,33,30,3
25,FC NANTES,38,11,5,9,34,29,5
26,FC NANTES,39,11,6,9,34,29,5
27,LOSC,42,11,9,7,37,35,2
28,FC NANTES,42,12,6,10,36,30,6
29,AS MONACO,44,12,8,9,43,30,13
30,LOSC,47,12,11,7,38,35,3
31,LOSC,48,12,12,7,39,36,3
32,RC LENS,50,14,8,10,50,41,9
33,RC LENS,50,14,8,10,50,41,9
