leagueMatchNb,teamName,points,wins,draws,loses,goalsFor,goalsAgainst,goalsDiff
1,FC LORIENT,1,0,1,0,1,1,0
2,REIMS,2,0,2,0,3,3,0
3,FC LORIENT,4,1,1,1,3,4,-1
4,LOSC,5,1,2,1,6,9,-3
5,REIMS,6,1,3,1,6,6,0
6,FC NANTES,7,2,1,3,7,6,1
7,MONTPELLIER,9,2,3,2,15,13,2
8,FC NANTES,10,3,1,4,11,10,1
9,OL,13,3,4,2,14,13,1
10,AS MONACO,14,4,2,4,14,13,1
11,LOSC,15,4,3,4,14,16,-2
12,AS MONACO,17,5,2,5,17,16,1
13,FC NANTES,18,5,3,5,18,16,2
14,MONTPELLIER,19,5,4,5,21,21,0
15,FC NANTES,19,5,4,6,20,20,0
16,MONTPELLIER,22,6,4,6,24,23,1
17,OL,25,7,5,5,27,26,1
18,ANGERS SCO,25,6,7,5,25,23,2
19,RC LENS,27,7,6,6,33,28,5
20,FC NANTES,29,8,5,7,25,23,2
21,OL,31,8,8,5,30,28,2
22,FC NANTES,32,9,5,8,30,27,3
23,FC NANTES,32,9,5,9,30,28,2
24,LOSC,35,9,8,7,32,35,-3
25,RC LENS,37,10,7,8,40,36,4
26,OL,38,10,9,7,34,32,2
27,RC LENS,40,11,7,9,42,38,4
28,OL,41,11,9,8,40,37,3
29,OL,42,11,10,8,40,37,3
30,RC LENS,44,12,8,10,45,40,5
31,OL,46,12,11,8,44,40,4
32,FC NANTES,47,13,8,11,41,35,6
33,FC NANTES,47,13,8,12,43,38,5
34,FC NANTES,50,14,8,12,48,41,7
35,LOSC,51,13,12,10,42,43,-1
36,LOSC,51,13,12,11,43,45,-2
37,LOSC,51,13,12,11,43,45,-2
