leagueMatchNb,teamName,points,wins,draws,loses,goalsFor,goalsAgainst,goalsDiff
1,SB29,1,0,1,0,1,1,0
2,ASSE,2,0,2,0,3,3,0
3,MHSC,4,1,1,1,8,7,1
4,SRFC,5,1,2,1,3,4,-1
5,FCL,8,2,2,1,7,7,0
6,MHSC,8,2,2,2,12,10,2
7,FCN,10,3,1,3,10,7,3
8,ASM,11,3,2,3,11,11,0
9,LOSC,14,4,2,3,13,14,-1
10,RCSA,14,4,2,4,18,15,3
11,ASM,17,5,2,4,17,14,3
12,SCO,17,4,5,3,18,15,3
13,RCSA,18,5,3,5,24,18,6
14,RCSA,19,5,4,5,25,19,6
15,RCSA,20,5,5,5,26,20,6
16,ASM,23,6,5,5,23,20,3
17,SCO,25,6,7,4,25,22,3
18,ASM,26,7,5,6,27,22,5
19,FCN,28,8,4,7,25,23,2
20,RCL,30,8,6,6,34,28,6
21,LOSC,32,8,8,5,30,28,2
22,ASM,33,9,6,7,35,26,9
23,ASM,33,9,6,7,35,26,9
