leagueMatchNb,teamName,points,wins,draws,loses,goalsFor,goalsAgainst,goalsDiff
1,PARIS FC,3,1,0,0,3,0,3
2,PARIS FC,6,2,0,0,4,0,4
3,PARIS FC,9,3,0,0,6,1,5
4,NIORT,10,3,1,0,4,1,3
5,NIORT,11,3,2,0,6,3,3
6,PARIS FC,13,4,1,1,11,5,6
7,PARIS FC,16,5,1,1,12,5,7
8,PARIS FC,19,6,1,1,14,6,8
9,PARIS FC,22,7,1,1,17,7,10
10,PARIS FC,25,8,1,1,18,7,11
11,PARIS FC,25,8,1,2,18,10,8
12,PARIS FC,26,8,2,2,18,10,8
13,TROYES,27,8,3,2,22,11,11
14,TROYES,30,9,3,2,24,12,12
15,TROYES,31,9,4,2,24,12,12
16,TROYES,34,10,4,2,25,12,13
17,GRENOBLE,34,10,4,3,25,10,15
18,TROYES,37,11,4,3,27,14,13
19,TROYES,38,11,5,3,27,14,13
20,TROYES,41,12,5,3,29,15,14
21,TROYES,44,13,5,3,30,15,15
22,TROYES,47,14,5,3,33,16,17
23,TROYES,47,14,5,4,34,18,16
24,TROYES,48,14,6,4,35,19,16
25,TROYES,51,15,6,4,37,20,17
26,TROYES,52,15,7,4,39,22,17
27,TROYES,55,16,7,4,40,22,18
28,TROYES,58,17,7,4,43,22,21
29,TROYES,58,17,7,5,44,27,17
30,CLERMONT,58,17,7,6,50,17,33
31,TROYES,61,18,7,6,46,30,16
32,TROYES,62,18,8,6,47,31,16
33,TROYES,65,19,8,6,48,31,17
34,TROYES,68,20,8,6,51,31,20
35,TROYES,71,21,8,6,54,32,22
36,TROYES,74,22,8,6,56,33,23
37,TROYES,77,23,8,6,58,33,25
38,TROYES,77,23,8,7,60,36,24
