leagueMatchNb,teamName,points,wins,draws,loses,goalsFor,goalsAgainst,goalsDiff
1,AJA,0,0,0,1,0,2,-2
2,FCCO,1,0,1,1,1,4,-3
3,TFC,1,0,1,2,3,6,-3
4,ACA,3,1,0,3,1,4,-3
5,ASNL,4,1,1,3,4,5,-1
6,ASC,5,1,2,3,2,4,-2
7,RAF,8,2,2,3,6,11,-5
8,RAF,8,2,2,4,6,14,-8
9,LBC,8,2,2,5,8,10,-2
10,PAUFC,9,2,3,5,9,11,-2
11,ACA,11,3,2,6,8,17,-9
12,ASNL,11,3,2,7,12,16,-4
13,LBC,12,3,3,7,11,16,-5
14,ASNL,12,3,3,8,14,20,-6
15,ASNL,13,3,4,8,16,22,-6
16,PAUFC,14,3,5,8,13,20,-7
17,ASNL,14,3,5,9,19,26,-7
18,FCCO,16,3,7,8,18,28,-10
19,ASNL,18,4,6,9,24,30,-6
20,ASNL,19,4,7,9,24,30,-6
21,ASNL,20,4,8,9,26,32,-6
22,EAG,22,4,10,8,24,30,-6
23,ASNL,22,4,10,9,28,34,-6
24,EAG,23,4,11,9,25,32,-7
25,EAG,24,4,12,9,26,33,-7
26,EAG,25,4,13,9,28,35,-7
27,EAG,26,4,14,9,28,35,-7
28,PAUFC,27,7,6,15,25,38,-13
29,EAG,29,5,14,10,30,40,-10
30,USLD,31,8,7,15,24,36,-12
31,USLD,32,8,8,15,25,37,-12
32,USLD,35,9,8,15,27,38,-11
33,SMC,36,8,12,13,31,43,-12
34,USLD,37,9,10,15,29,40,-11
35,USLD,37,9,10,16,30,42,-12
36,CNFC,40,9,13,14,34,56,-22
37,USLD,40,10,10,17,31,44,-13
38,SMC,41,9,14,15,34,49,-15
