leagueMatchNb,teamName,points,wins,draws,loses,goalsFor,goalsAgainst,goalsDiff
1,STRASBOURG,3,1,0,0,2,0,2
2,AS MONACO,4,1,1,0,3,1,2
3,NÎMES,6,2,0,1,7,5,2
4,OM,7,2,1,1,10,7,3
5,DIJON FCO,9,3,0,2,9,6,3
6,OM,10,3,1,2,16,11,5
7,MONTPELLIER,12,3,3,1,8,6,2
8,OL,14,4,2,2,14,7,7
9,ASSE,15,4,3,2,11,12,-1
10,OL,17,5,2,3,16,12,4
11,OM,19,6,1,4,22,18,4
12,ASSE,20,5,5,2,17,17,0
13,ASSE,23,6,5,2,19,17,2
14,OM,25,8,1,5,27,22,5
15,OM,26,8,2,5,27,22,5
16,OM,26,8,2,6,29,25,4
17,ASSE,29,8,5,4,26,22,4
18,MONTPELLIER,29,8,5,5,25,19,6
19,MONTPELLIER,30,8,6,5,26,20,6
20,MONTPELLIER,31,8,7,5,27,21,6
21,OM,34,10,4,7,34,29,5
22,STRASBOURG,35,9,8,5,38,25,13
23,MONTPELLIER,36,9,9,5,30,22,8
24,MONTPELLIER,37,9,10,5,32,24,8
25,ASSE,40,11,7,7,35,31,4
26,OM,41,12,5,9,41,35,6
27,ASSE,43,12,7,8,36,33,3
28,REIMS,43,10,13,5,30,27,3
29,ASSE,46,13,7,9,41,34,7
30,OM,48,14,6,10,47,40,7
31,OM,48,14,6,11,47,42,5
32,OM,51,15,6,11,49,43,6
33,OM,54,16,6,11,52,44,8
34,MONTPELLIER,54,14,12,8,50,39,11
35,MONTPELLIER,55,14,13,8,51,40,11
36,MONTPELLIER,58,15,13,8,52,40,12
37,MONTPELLIER,59,15,14,8,53,41,12
38,OM,61,18,7,13,60,52,8
